Event	ID	Name			Wwise Object Path	Notes
	41941568	play_idle			\Default Work Unit\Mushdoom\play_idle	
	1602358412	play_footstep			\Default Work Unit\Mushdoom\play_footstep	
	1977644338	play_throw			\Default Work Unit\Mushdoom\play_throw	
	2230205651	play_receive_hit			\Default Work Unit\Mushdoom\play_receive_hit	
	2942461374	play_cry			\Default Work Unit\Mushdoom\play_cry	
	3429773683	play_ground			\Default Work Unit\Mushdoom\play_ground	
	4096721563	play_make_attack			\Default Work Unit\Mushdoom\play_make_attack	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	774139478	SFX_Attack_Hit_V9	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Hit_V9_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Hits\SFX_Attack_Hit_V9		10072
	830203778	SFX_Character_Mushdoom_Throw	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Mushdoom\SFX_Character_Mushdoom_Throw_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\SFX_Character_Mushdoom_Throw		27712
	836377266	SFX_Attack_Hit_V2	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Hit_V2_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Hits\SFX_Attack_Hit_V2		11368
	839875782	SFX_Character_Mushdoom_Walk2	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Character_Mushdoom_Walk2_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Footsteps\SFX_Character_Mushdoom_Walk2		34768
	933670472	SFX_Attack_Hit_V3	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Hit_V3_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Hits\SFX_Attack_Hit_V3		13312
	986839024	SFX_Attack_Hit_V10	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Hit_V10_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Hits\SFX_Attack_Hit_V10		11872
	990119322	SFX_Character_Mushdoom_Cry	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\Mushdoom\SFX_Character_Mushdoom_Cry_B2CE743C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\SFX_Character_Mushdoom_Cry		78832
	1064808293	SFX_Character_Mushdoom_Idle	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Character_Mushdoom_Idle_D43ED4DC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\SFX_Character_Mushdoom_Idle		83656
	1070118631	SFX_Attack_Hit_V4	D:\Izzy\gitHub\WWiseProject\WwiseProject\.cache\Windows\SFX\SFX_Attack_Hit_V4_B09F49DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mushdoom\Hits\SFX_Attack_Hit_V4		10144

